# u, v, x, y, z
32,64,-2.1359853744506836,-0.26307541131973267,0.3701658844947815
262,274,-2.0375795364379883,0.5100385546684265,-0.36383533477783203
392,64,-1.9115585088729858,0.9917803406715393,0.4229012131690979
194,260,-2.1262271404266357,0.26224803924560547,-0.31781890988349915
352,61,-2.0073509216308594,0.8897687792778015,0.43124592304229736
557,262,-1.626932144165039,1.5299826860427856,-0.33141738176345825
188,317,-2.1586592197418213,0.25241509079933167,-0.4838634431362152
376,159,-2.318756580352783,1.1133995056152344,0.061585452407598495
572,312,-1.7155510187149048,1.652775526046753,-0.530691921710968
367,147,-2.2920656204223633,1.0661934614181519,0.12374356389045715
19,323,-2.1873185634613037,-0.3386116325855255,-0.49283525347709656
227,135,-2.5241146087646484,0.421360582113266,0.1876593977212906
288,37,-0.540989100933075,0.18341758847236633,0.055051907896995544
504,64,-0.4744768440723419,0.3759334683418274,0.043503791093826294
67,143,-1.164432406425476,-0.0211013276129961,0.027676284313201904
106,95,-6.531500339508057,-0.48419973254203796,0.9694682955741882
