epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0637,1.05472,1.32606,0.90396,0.87857,0.79888,0.88538,0.67741,0.75213,0.72083,0.84071,0.000473759,0.000473759,0.000473759
2,292.797,0.83837,0.63747,0.8643,0.87694,0.83343,0.91386,0.67577,0.83312,0.58983,0.84885,0.00093128,0.00093128,0.00093128
