# u, v, x, y, z
501,205,-0.8002611398696899,0.2760583758354187,-0.10347841680049896
204,48,-5.43629264831543,-1.2226746082305908,1.3760818243026733
266,181,-0.7759088277816772,-0.07100032269954681,-0.0763307511806488
124,265,-0.744513213634491,-0.2707687318325043,-0.19344893097877502
183,33,-0.7048283815383911,-0.1620263308286667,0.10497161746025085
316,158,-2.592956304550171,-0.000242879381403327,-0.0013494156301021576
211,111,-0.45179295539855957,-0.08325939625501633,-0.02224079519510269
357,167,-5.486802577972412,0.5045881271362305,-0.002876753220334649
467,33,-1.3582653999328613,0.3850344121456146,0.3107690215110779
330,277,-1.697995901107788,0.06249166652560234,-0.3775147497653961
472,305,-1.4705641269683838,0.4662186801433563,-0.4182952344417572
497,258,-1.854383111000061,0.6632499694824219,-0.3409687578678131
