index,Long,Lat,UTM_X,UTM_Y,status
745,127.0783742,37.541279599999996,330232.62728960114,4156656.098517098,2
746,127.0783725,37.541274,330232.46438392764,4156655.4802138694,2
747,127.07837079999999,37.5412685,330232.301705079,4156654.873006607,2
748,127.0783685,37.541263099999995,330232.0862404641,4156654.2779791006,2
749,127.0783664,37.5412578,330231.88867353124,4156653.693686298,2
750,127.0783642,37.5412526,330231.6824979863,4156653.1206700974,2
751,127.07836209999999,37.5412476,330231.4856115432,4156652.569665196,2
752,127.07835929999999,37.5412427,330231.2271038804,4156652.031020688,2
753,127.07835619999999,37.541238,330230.94254357275,4156651.5151100135,2
754,127.07835329999999,37.541233399999996,330230.67588095326,4156651.009934045,2
755,127.07835039999999,37.5412288,330230.409218301,4156650.504758084,2
756,127.078347,37.5412245,330230.0990589786,4156650.0337731917,2
757,127.0783434,37.5412203,330229.77145559643,4156649.57424554,2
758,127.0783397,37.541216299999995,330229.4354704396,4156649.137090462,2
759,127.0783359,37.5412123,330229.0906498102,4156648.7001160304,2
760,127.0783276,37.5412047,330228.3400677702,4156647.871815511,2
761,127.0783232,37.541201099999995,330227.94314179895,4156647.4803087898,2
762,127.07831859999999,37.541197499999996,330227.52854490606,4156647.0891633616,2
763,127.07831379999999,37.541194,330227.0965039476,4156646.709475189,2
764,127.0783086,37.541190799999995,330226.629801744,4156646.363797478,2
765,127.07830329999999,37.5411876,330226.1542640578,4156646.0183004285,2
766,127.0782977,37.5411845,330225.65244686283,4156645.684441284,2
767,127.0782919,37.5411815,330225.1331855951,4156645.362039409,2
768,127.07828599999999,37.541178599999995,330224.6053156991,4156645.050914166,2
769,127.0782797,37.5411758,330224.0423308478,4156644.7516074823,2
770,127.07827329999999,37.5411731,330223.4707373662,4156644.4635774367,2
771,127.07826659999999,37.5411705,330222.87286437093,4156644.1871853177,2
772,127.07825969999999,37.5411679,330222.2573204468,4156643.9111545226,2
773,127.0782454,37.541163,330220.98273583123,4156643.393284173,2
774,127.07823789999999,37.5411608,330220.3150865537,4156643.1627212325,2
775,127.0782304,37.5411584,330219.64698351524,4156642.909966416,2
776,127.0782227,37.541156,330218.9612095435,4156642.657572943,2
777,127.07821489999999,37.5411534,330218.2661463528,4156642.3831682424,2
778,127.07820699999999,37.5411511,330217.56292826135,4156642.1422321377,2
779,127.07819889999999,37.5411486,330216.84158550354,4156641.879465459,2
780,127.0781907,37.5411462,330216.1116341173,4156641.6279754536,2
781,127.07818239999999,37.5411436,330215.37239350256,4156641.3544742307,2
782,127.0781741,37.541140999999996,330214.6331528385,4156641.0809730724,2
783,127.0781658,37.5411387,330213.89459272625,4156640.84075987,2
784,127.07815769999999,37.5411358,330213.1723422441,4156640.533609647,2
785,127.07814119999999,37.541130599999995,330211.702696,4156639.986427125,2
786,127.0781329,37.5411277,330210.9627744596,4156639.679638395,2
787,127.0781248,37.541125099999995,330210.2412043797,4156639.405776311,2
788,127.0781166,37.5411223,330209.51034505025,4156639.1099030157,2
789,127.07809999999999,37.5411171,330208.03186283493,4156638.5629017833,2
790,127.0780916,37.5411147,330207.2842399556,4156638.3117738473,2
791,127.07808329999999,37.5411119,330206.5445449606,4156638.0160814654,2
792,127.07807509999999,37.541109,330205.81345848565,4156637.709112524,2
793,127.07806679999999,37.5411061,330205.0735364982,4156637.402324304,2
794,127.07805839999999,37.5411031,330204.32455212227,4156637.0846208464,2
795,127.0780499,37.5411003,330203.56718600215,4156636.789290042,2
796,127.07804139999999,37.5410974,330202.8095929369,4156636.4828633424,2
797,127.0780327,37.5410949,330202.03523644904,4156636.221181891,2
798,127.07802419999999,37.541092,330201.2776432695,4156635.9147553276,2
799,127.07801529999999,37.5410892,330200.4849351068,4156635.6201474536,2
800,127.07800669999999,37.5410861,330199.71805258223,4156635.291709765,2
801,127.077998,37.541083,330198.94233453996,4156634.9634528127,2
802,127.0779891,37.5410799,330198.1489455224,4156634.6355572627,2
803,127.07798009999999,37.5410774,330197.3480823296,4156634.3744182396,2
804,127.0779714,37.5410738,330196.5712296391,4156633.990681682,2
805,127.07796259999999,37.5410702,330195.78554141853,4156633.607125865,0
806,127.07795379999999,37.541067,330195.0007606965,4156633.267953975,0
807,127.0779448,37.541063799999996,330194.1983089967,4156632.929143501,0
808,127.0779364,37.5410602,330193.4479623851,4156632.5448652115,0
809,127.0779278,37.541056399999995,330192.67949099094,4156632.1387564074,0
810,127.07791929999999,37.5410529,330191.9205356734,4156631.7657548906,0
811,127.077911,37.541049199999996,330191.17879740347,4156631.370200163,0
812,127.07790279999999,37.5410456,330190.4461214193,4156630.985560789,0
813,127.0778946,37.5410417,330189.71276466263,4156630.567633586,0
814,127.0778867,37.5410379,330189.006141113,4156630.16026038,0
815,127.07787889999999,37.5410338,330188.30767224205,4156629.7194186607,0
816,127.07787139999999,37.5410295,330187.6352558724,4156629.255843036,2
817,127.0778641,37.5410252,330186.98051034886,4156628.791906107,2
818,127.0778567,37.541021,330186.3171561928,4156628.33924587,2
819,127.07784969999999,37.5410164,330185.68823618995,4156627.8414791073,2
820,127.07784339999999,37.541010899999996,330185.1191221919,4156627.24258395,2
821,127.0778368,37.5410064,330184.5257707976,4156626.7551905126,2
822,127.0778299,37.5410016,330183.9052322148,4156626.2350512682,2
823,127.07782359999999,37.5409967,330183.3374794322,4156625.7027320107,2
824,127.0778172,37.5409917,330182.7606642047,4156625.1594975074,2
825,127.0778107,37.5409866,330182.1747865263,4156624.6053477614,2
826,127.0778043,37.5409815,330181.59774423426,4156624.0510173724,2
827,127.07779199999999,37.540970699999995,330180.4864752857,4156622.874877493,2
828,127.0777864,37.5409649,330179.9785281211,4156622.241429977,2
829,127.0777804,37.540959099999995,330179.4352390027,4156621.608705235,2
830,127.0777754,37.540953,330178.97962375917,4156620.9408857645,2
831,127.07776969999999,37.540946999999996,330178.46238706476,4156620.285427094,2
832,127.07776439999999,37.5409408,330177.9800383443,4156619.6070537744,0
833,127.07775939999999,37.5409344,330177.52374213317,4156618.905946485,0
834,127.0777542,37.540928,330177.0497749029,4156618.2052005976,0
835,127.07774909999999,37.540921499999996,330176.5844161494,4156617.493178082,0
836,127.077744,37.5409149,330176.1188304038,4156616.7700596265,0
837,127.07773909999999,37.5409083,330175.6709155305,4156616.0465798145,0
838,127.0777341,37.5409016,330175.21393818787,4156615.3121847506,0
